name,geometry_resto
Kiosco de Pizza,POINT (435017.9253306827 4472119.333474963)
El Jardín III,POINT (448846.8170373901 4468418.974714294)
Del Olivo,POINT (440505.7203129142 4473958.306218806)
Little Dragon,POINT (439822.27204877086 4475072.851701542)
Trattoria Pinocchio,POINT (441145.0265528336 4473386.606815886)
Sanabria,POINT (441112.2924300325 4473405.324132391)
Sardos,POINT (440304.6382890777 4475416.734234164)
Tokyo,POINT (449590.70530004136 4468392.044366991)
Janatomo,POINT (440701.71143484494 4474613.7567891665)
Petit Comité,POINT (440629.14424944227 4474641.239179612)
Vesuvio Pizza,POINT (440549.7989942017 4474678.367009272)
UDON,POINT (440671.6045367541 4474630.224171888)
Del Diego,POINT (440681.4030851518 4474611.9304471)
