name,cod_distrito,distrito,geometry
Bahía Taberna,21,Barajas,POINT (-3.5924192 40.4636354)
Bahía de Vigo,10,Latina,POINT (-3.7663496 40.3935939)
Baisakhi,1,Centro,POINT (-3.7024462 40.4098411)
Baiyor,7,Chamberí,POINT (-3.705593 40.42881)
Balón Tokio,1,Centro,POINT (-3.6994741 40.4138986)
BambúBox,1,Centro,POINT (-3.6994244 40.4204506)
Bang Cook,7,Chamberí,POINT (-3.6916202 40.4353044)
Banibanoo,4,Salamanca,POINT (-3.6707193 40.4289448)
Bao Cata,1,Centro,POINT (-3.6981567 40.4212455)
Bar - Restaurnate El chaflán,5,Chamartín,POINT (-3.6743408 40.4668484)
Bar Alonso,2,Arganzuela,POINT (-3.6966787 40.3967276)
Bar Andalú La Torre del Oro,1,Centro,POINT (-3.7076505 40.4157877)
Bar Cafetería El 26,12,Usera,POINT (-3.7080077 40.3839784)
Bar Cafetería May,2,Arganzuela,POINT (-3.6953596 40.4043089)
Bar Camorrillo,4,Salamanca,POINT (-3.6793198 40.4261851)
Bar Castilla,21,Barajas,POINT (-3.575502 40.473316)
Bar Cruz de Mayo,7,Chamberí,POINT (-3.7003108 40.4392996)
Bar EL RINCON,8,Fuencarral-El Pardo,POINT (-3.6857446 40.4906776)
Bar Ebla,1,Centro,POINT (-3.7135259 40.4242946)
Bar El Acueducto,10,Latina,POINT (-3.7565572 40.3876026)
Bar El Murciano,13,Puente de Vallecas,POINT (-3.6468939 40.3814982)
Bar Estación de Usera,12,Usera,POINT (-3.706399 40.3869404)
Bar Guacha,14,Moratalaz,POINT (-3.650514 40.406682)
Bar Gyoza Go!,1,Centro,POINT (-3.7085574 40.4162467)
Bar La Concha,12,Usera,POINT (-3.7068269 40.3872255)
Bar La Cueva de Barragan,1,Centro,POINT (-3.7156141 40.4207498)
Bar La Isla de Vallecas,13,Puente de Vallecas,POINT (-3.6633312 40.3953893)
Bar La Rinconada,21,Barajas,POINT (-3.5809657 40.4731034)
Bar La Terraza,1,Centro,POINT (-3.7230398 40.4069145)
Bar Las Peñas,6,Tetuán,POINT (-3.7081487 40.4578091)
Bar Los Poetas,6,Tetuán,POINT (-3.7175501 40.4684087)
Bar Lozano,1,Centro,POINT (-3.7016365 40.4245087)
Bar M & 2,6,Tetuán,POINT (-3.7037777 40.4792181)
Bar Madrid,13,Puente de Vallecas,POINT (-3.6515182 40.3793619)
Bar Manchego,12,Usera,POINT (-3.7066589 40.3870949)
Bar Manolo,6,Tetuán,POINT (-3.7098514 40.447205)
