name,cod_distrito,distrito,geometry
Casa Tampico,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Casa Tinin,6,Tetuán,POINT (-3.7033 40.4582)
Casa Toni,1,Centro,POINT (-3.7039 40.4165)
Casa Toni,1,Centro,POINT (-3.7039 40.4165)
Casa Tony,1,Centro,POINT (-3.7039 40.4165)
Casa Toro Taberna,4,Salamanca,POINT (-3.678 40.4297)
Casa Tua,16,Hortaleza,POINT (-3.6457 40.4746)
Casa Valiño,1,Centro,POINT (-3.7039 40.4165)
Casa Victor,1,Centro,POINT (-3.7039 40.4165)
Casa Vila de Cruces,4,Salamanca,POINT (-3.678 40.4297)
Casa Wang,1,Centro,POINT (-3.7039 40.4165)
Casa de Aragón,5,Chamartín,POINT (-3.6781 40.4518)
Casa de Asturias,1,Centro,POINT (-3.7039 40.4165)
Casa de Bambú,8,Fuencarral-El Pardo,POINT (-3.7084 40.5021)
Casa de Córdoba,5,Chamartín,POINT (-3.6781 40.4518)
Casa de Valencia,9,Moncloa-Aravaca,POINT (-3.728 40.4381)
Casa de Vincenzo,15,Ciudad Lineal,POINT (-3.6517 40.4455)
Casa de la Salteña Boliviana,12,Usera,POINT (-3.7072 40.381)
Casa Ángel,20,San Blas-Canillejas,POINT (-3.6156 40.4397)
Casa Árabe,6,Tetuán,POINT (-3.7033 40.4582)
Casacamu,7,Chamberí,POINT (-3.7037 40.4336)
