zona,nombre,direccion,latitud,longitud,rating,usuarios,precio,tipos
centro,La Gloria de Montera,"Calle del Caballero de Gracia, 10, Madrid",40.41945279999999,-3.7007693,4.2,5763.0,1.0,"restaurant, food, point_of_interest, establishment"
centro,Restaurante La Catedral,"Carrera de San Jerónimo, 16, Madrid",40.4165046,-3.7010618,4.0,5108.0,1.0,"restaurant, food, point_of_interest, establishment"
centro,Las Cuevas de Luis Candelas · Restaurant,"Calle de Cuchilleros, 1, Madrid",40.4148559,-3.708019500000001,4.3,1719.0,3.0,"restaurant, food, point_of_interest, establishment"
centro,Dubliners,"Calle de Espoz y Mina, 7, Madrid",40.41583419999999,-3.702262599999999,3.6,1548.0,2.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Casa Alberto,"Calle de las Huertas, 18, Madrid",40.41376149999999,-3.7001568,4.4,4606.0,2.0,"bar, restaurant, food, point_of_interest, establishment"
centro,Restaurante San Cristóbal,"Calle de San Cristóbal, 11, Madrid",40.415842,-3.7056157,3.1,322.0,,"restaurant, food, point_of_interest, establishment"
centro,Lateral,"Plaza de Santa Ana, 12, Madrid",40.4143579,-3.7011202,4.2,7570.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Cervecería Restaurante Plaza Mayor,"Plaza Mayor, 2, Madrid",40.414928,-3.706844600000001,2.9,905.0,,"restaurant, bar, food, point_of_interest, establishment"
centro,Museo del Jamón,"Carrera de San Jerónimo, 6, Madrid",40.416563,-3.701547,4.1,16299.0,1.0,"cafe, bar, restaurant, food, point_of_interest, store, establishment"
centro,Mimi’s Crêperie,"Calle de Postas, 17, Madrid",40.41572309999999,-3.7061636,4.5,3700.0,,"restaurant, food, point_of_interest, store, establishment"
centro,La Tintorería,"Calle de Espoz y Mina, 20, Madrid",40.41535309999999,-3.7024706,4.4,1755.0,1.0,"restaurant, food, point_of_interest, establishment"
centro,Parrilla El Gaucho,"Calle de Tetuán, 34, Madrid",40.418173,-3.703043,4.4,3908.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Vi Cool,"Calle de las Huertas, 12, Madrid",40.4138665,-3.7006778,4.5,1912.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Museo del Jamón,"Plaza Mayor, 17, 18, Madrid",40.4153752,-3.708105,3.3,2398.0,1.0,"cafe, bar, restaurant, food, point_of_interest, store, establishment"
centro,Arrocería Marina Ventura,"Calle de Ventura de la Vega, 13, Madrid",40.4153679,-3.698865399999999,4.5,6720.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,El Cucurucho del Mar,"Calle del Postigo de San Martín, 6, LOCAL, Madrid",40.41919650000001,-3.7059889,4.3,1846.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Prada a Tope Madrid,"Calle del Príncipe, 11, Madrid",40.4157814,-3.700283900000001,4.4,2903.0,2.0,"restaurant, food, point_of_interest, establishment"
centro,Granada House in Madrid,"Calle del Doctor Cortezo, 17, 6º planta, Madrid",40.41268179999999,-3.7038295,4.1,2027.0,,"bar, restaurant, food, point_of_interest, establishment"
retiro,La Mordida,"Calle de Pío Baroja, 9, Madrid",40.413717,-3.673971,4.3,5163.0,2.0,"restaurant, food, point_of_interest, establishment"
retiro,Fogg Bar Birras & Burgers,"Plaza de los Reyes Magos, 6, Madrid",40.40806190000001,-3.6764862,4.7,1527.0,2.0,"bar, restaurant, food, point_of_interest, establishment"
retiro,La Dehesa II,"Avenida del Mediterráneo, 12, Madrid",40.40716029999999,-3.6767356,3.9,379.0,,"restaurant, cafe, bar, store, food, point_of_interest, establishment"
retiro,Restaurante Pazo Coruña,"Calle de Pío Baroja, 6, Madrid",40.41376,-3.6745445,4.4,3236.0,2.0,"meal_takeaway, restaurant, food, point_of_interest, establishment"
retiro,Restaurante Casa Santoña,"Avenida de Nazaret, 10, Madrid",40.41133300000001,-3.6709778,4.1,1891.0,2.0,"restaurant, bar, food, point_of_interest, establishment"
